frame,episode,ep_return,mean100,epsilon,loss,eval_mean,eval_std,lr
132,1,0.0,0.0,0.9998706485373844,,,,0.00025
300,2,1.0,0.5,0.9997060440955904,,,,0.00025
459,3,1.0,0.6666666666666666,0.9995502832178971,,,,0.00025
630,4,1.0,0.75,0.9993827944401654,,,,0.00025
857,5,2.0,1.0,0.9991604997772263,,,,0.00025
990,6,0.0,0.8333333333333334,0.999030280090557,,,,0.00025
1126,7,0.0,0.7142857142857143,0.9988971410261263,,,,0.00025
1259,8,0.0,0.625,0.9987669563638418,,,,0.00025
1436,9,1.0,0.6666666666666666,0.9985937299435559,,,,0.00025
1592,10,1.0,0.7,0.998441081228594,,,,0.00025
1776,11,1.0,0.7272727272727273,0.9982610646316827,,,,0.00025
1995,12,2.0,0.8333333333333334,0.9980468489160054,,,,0.00025
2189,13,1.0,0.8461538461538461,0.9978571262310112,,,,0.00025
2314,14,0.0,0.7857142857142857,0.9977349017294228,,,,0.00025
2483,15,1.0,0.8,0.9975696784927872,,,,0.00025
2644,16,1.0,0.8125,0.9974123024436619,,,,0.00025
2781,17,0.0,0.7647058823529411,0.9972784061303339,,,,0.00025
2917,18,0.0,0.7222222222222222,0.9971455053045611,,,,0.00025
3052,19,0.0,0.6842105263157895,0.9970135995651829,,,,0.00025
3313,20,3.0,0.8,0.9967586322903731,,,,0.00025
3554,21,3.0,0.9047619047619048,0.9965232618232716,,,,0.00025
3740,22,1.0,0.9090909090909091,0.9963416453874245,,,,0.00025
3874,23,0.0,0.8695652173913043,0.9962108243721465,,,,0.00025
3998,24,0.0,0.8333333333333334,0.996089781734723,,,,0.00025
4227,25,2.0,0.88,0.9958662827663143,,,,0.00025
4376,26,0.0,0.8461538461538461,0.9957208895222478,,,,0.00025
4538,27,1.0,0.8518518518518519,0.9955628355408633,,,,0.00025
4678,28,0.0,0.8214285714285714,0.9954262663039573,,,,0.00025
4892,29,2.0,0.8620689655172413,0.9952175474166857,,,,0.00025
5024,30,0.0,0.8333333333333334,0.9950888271961482,,,,0.00025
5313,31,4.0,0.9354838709677419,0.994807067241363,,,,0.00025
5468,32,0.0,0.90625,0.9946559838552055,,,,0.00025
5702,33,2.0,0.9393939393939394,0.9944279410370337,,,,0.00025
5892,34,1.0,0.9411764705882353,0.9942428173155471,,,,0.00025
6098,35,2.0,0.9714285714285714,0.9940421439652447,,,,0.00025
6235,36,0.0,0.9444444444444444,0.9939087093320027,,,,0.00025
6442,37,2.0,0.972972972972973,0.9937071310932384,,,,0.00025
6636,38,1.0,0.9736842105263158,0.9935182502318423,,,,0.00025
6913,39,4.0,1.0512820512820513,0.9932486230216208,,,,0.00025
7098,40,1.0,1.05,0.9930685886800518,,,,0.00025
7235,41,0.0,1.024390243902439,0.9929352874147477,,,,0.00025
7366,42,0.0,1.0,0.9928078412400031,,,,0.00025
