frame,episode,ep_return,mean100,epsilon,loss,eval_mean,eval_std,lr
158,1,1.0,1.0,0.9998451722317158,,,,0.0001
367,2,2.0,1.5,0.999640405989537,,,,0.0001
532,3,1.0,1.3333333333333333,0.9994787786571704,,,,0.0001
738,4,2.0,1.5,0.9992770268099208,,,,0.0001
1045,5,4.0,2.0,0.9989764349059083,,,,0.0001
1278,6,2.0,2.0,0.9987483599683372,,,,0.0001
1435,7,0.0,1.7142857142857142,0.9985947085377751,,,,0.0001
1639,8,2.0,1.75,0.9983950955784474,,,,0.0001
1808,9,1.0,1.6666666666666667,0.9982297607784788,,,,0.0001
1996,10,1.0,1.6,0.9980458708696455,,,,0.0001
2134,11,0.0,1.4545454545454546,0.9979109098519899,,,,0.0001
2361,12,2.0,1.5,0.9976889492689328,,,,0.0001
2493,13,0.0,1.3846153846153846,0.9975599028448807,,,,0.0001
2776,14,4.0,1.5714285714285714,0.9972832925345806,,,,0.0001
3082,15,4.0,1.7333333333333334,0.9969842895968477,,,,0.0001
3308,16,2.0,1.75,0.996763516095744,,,,0.0001
3506,17,2.0,1.7647058823529411,0.9965701360648119,,,,0.0001
3678,18,1.0,1.7222222222222223,0.996402180446006,,,,0.0001
3808,19,0.0,1.631578947368421,0.996275256412789,,,,0.0001
3943,20,0.0,1.55,0.9961434681490812,,,,0.0001
4184,21,3.0,1.619047619047619,0.9959082459186746,,,,0.0001
4317,22,0.0,1.5454545454545454,0.9957784587530052,,,,0.0001
4498,23,1.0,1.5217391304347827,0.9956018588347456,,,,0.0001
4636,24,0.0,1.4583333333333333,0.9954672350674799,,,,0.0001
4835,25,2.0,1.48,0.9952731364011594,,,,0.0001
5000,26,1.0,1.4615384615384615,0.9951122296088287,,,,0.0001
5132,27,0.0,1.4074074074074074,0.9949835232893243,,,,0.0001
5264,28,0.0,1.3571428571428572,0.9948548339579328,,,,0.0001
5511,29,3.0,1.4137931034482758,0.9946140745489562,,,,0.0001
5680,30,1.0,1.4,0.9944493786875498,,,,0.0001
5867,31,1.0,1.3870967741935485,0.9942671736904334,,,,0.0001
6184,32,4.0,1.46875,0.9939583799427684,,,,0.0001
6394,33,2.0,1.4848484848484849,0.9937538701572595,,,,0.0001
6536,34,0.0,1.4411764705882353,0.993615606924619,,,,0.0001
6803,35,4.0,1.5142857142857142,0.9933556862585231,,,,0.0001
6978,36,1.0,1.5,0.9931853639170674,,,,0.0001
7123,37,0.0,1.4594594594594594,0.9930442622694161,,,,0.0001
7286,38,1.0,1.4473684210526316,0.9928856689803703,,,,0.0001
7461,39,1.0,1.435897435897436,0.9927154288847416,,,,0.0001
7772,40,4.0,1.5,0.9924129614224868,,,,0.0001
8077,41,4.0,1.5609756097560976,0.992116420694013,,,,0.0001
8285,42,2.0,1.5714285714285714,0.991914241505873,,,,0.0001
8427,43,0.0,1.5348837209302326,0.9917762394819548,,,,0.0001
8694,44,4.0,1.5909090909090908,0.9915168098614087,,,,0.0001
8854,45,0.0,1.5555555555555556,0.9913613796065829,,,,0.0001
8990,46,0.0,1.5217391304347827,0.9912292834416991,,,,0.0001
9117,47,0.0,1.4893617021276595,0.991105945154849,,,,0.0001
9292,48,1.0,1.4791666666666667,0.9909360164836393,,,,0.0001
9551,49,3.0,1.510204081632653,0.9906845766182382,,,,0.0001
9762,50,2.0,1.52,0.990479783778976,,,,0.0001
9935,51,1.0,1.5098039215686274,0.9903119052982896,,,,0.0001
10065,52,0.0,1.4807692307692308,0.9901857729493811,,,,0.0001
10293,53,2.0,1.490566037735849,0.9899645958083009,,,,0.0001
10495,54,2.0,1.5,0.9897686827478328,,,,0.0001
10662,55,1.0,1.490909090909091,0.9896067449000007,,,,0.0001
10923,56,3.0,1.5178571428571428,0.9893537105619993,,,,0.0001
11131,57,2.0,1.5263157894736843,0.9891521059578081,,,,0.0001
11263,58,0.0,1.5,0.9890241863227033,,,,0.0001
11396,59,0.0,1.4745762711864407,0.9888953146760768,,,,0.0001
11538,60,0.0,1.45,0.988757741309333,,,,0.0001
11908,61,5.0,1.5081967213114753,0.9883993672483383,,,,0.0001
12137,62,2.0,1.5161290322580645,0.9881776291832159,,,,0.0001
12341,63,2.0,1.5238095238095237,0.9879801410913328,,,,0.0001
12560,64,2.0,1.53125,0.9877681766513872,,,,0.0001
12690,65,0.0,1.5076923076923077,0.9876423749657092,,,,0.0001
12846,66,1.0,1.5,0.9874914345288748,,,,0.0001
13185,67,5.0,1.5522388059701493,0.9871635105188296,,,,0.0001
13372,68,1.0,1.5441176470588236,0.986982667851679,,,,0.0001
13506,69,0.0,1.5217391304347827,0.9868531008553695,,,,0.0001
13673,70,1.0,1.5142857142857142,0.9866916498690592,,,,0.0001
13933,71,3.0,1.5352112676056338,0.9864403427114394,,,,0.0001
14072,72,0.0,1.5138888888888888,0.9863060168396669,,,,0.0001
14201,73,0.0,1.4931506849315068,0.9861813714032981,,,,0.0001
14386,74,1.0,1.4864864864864864,0.9860026443823476,,,,0.0001
14530,75,0.0,1.4666666666666666,0.9858635500165912,,,,0.0001
14709,76,1.0,1.4605263157894737,0.9856906759138321,,,,0.0001
14847,77,0.0,1.4415584415584415,0.9855574197954395,,,,0.0001
15021,78,1.0,1.435897435897436,0.9853894274201557,,,,0.0001
15281,79,3.0,1.4556962025316456,0.9851384587963613,,,,0.0001
15530,80,2.0,1.4625,0.9848981692374127,,,,0.0001
15834,81,4.0,1.4938271604938271,0.9846048847754614,,,,0.0001
16041,82,2.0,1.5,0.9844052322290643,,,,0.0001
16182,83,0.0,1.4819277108433735,0.9842692606775397,,,,0.0001
16357,84,1.0,1.4761904761904763,0.9841005283214329,,,,0.0001
16495,85,0.0,1.4588235294117646,0.9839674916282676,,,,0.0001
16768,86,3.0,1.4767441860465116,0.983704364421551,,,,0.0001
16906,87,0.0,1.4597701149425288,0.9835713823952317,,,,0.0001
17089,88,1.0,1.4545454545454546,0.9833950649657901,,,,0.0001
17308,89,2.0,1.4606741573033708,0.9831841045475715,,,,0.0001
17534,90,2.0,1.4666666666666666,0.9829664495358865,,,,0.0001
17674,91,0.0,1.4505494505494505,0.9828316436695824,,,,0.0001
17823,92,0.0,1.434782608695652,0.9826881924420574,,,,0.0001
17974,93,0.0,1.4193548387096775,0.982542837499573,,,,0.0001
18100,94,0.0,1.4042553191489362,0.9824215647423922,,,,0.0001
18355,95,3.0,1.4210526315789473,0.9821761785314544,,,,0.0001
18486,96,0.0,1.40625,0.9820501417076591,,,,0.0001
18614,97,0.0,1.3917525773195876,0.981927007170299,,,,0.0001
18750,98,0.0,1.3775510204081634,0.9817961939928216,,,,0.0001
18915,99,1.0,1.3737373737373737,0.9816375107125433,,,,0.0001
19052,100,0.0,1.36,0.9815057753976508,,,,0.0001
19208,101,1.0,1.36,0.9813557921956828,,,,0.0001
19340,102,0.0,1.34,0.981228901606076,,,,0.0001
19475,103,0.0,1.33,0.9810991444631635,,,,0.0001
19648,104,1.0,1.32,0.9809328886927102,,,,0.0001
19863,105,1.0,1.29,0.980726310329611,,,,0.0001
20133,106,4.0,1.31,0.9804669492411445,,,,0.0001
20314,107,1.0,1.32,0.9802931204553117,,,,0.0001
20549,108,3.0,1.33,0.9800674780860215,,,,0.0001
20756,109,2.0,1.34,0.9798687646856041,,,,0.0001
20885,110,0.0,1.33,0.9797449496012044,,,,0.0001
21041,111,1.0,1.34,0.9795952410666359,,,,0.0001
21233,112,1.0,1.33,0.9794110164664785,,,,0.0001
21413,113,1.0,1.34,0.9792383380250406,,,,0.0001
21718,114,4.0,1.34,0.9789458149439805,,,,0.0001
21938,115,2.0,1.32,0.9787348700694798,,,,0.0001
