frame,episode,ep_return,mean100,epsilon,loss,eval_mean,eval_std,lr
143,1,0.0,0.0,0.9998598700195324,,,,0.0001
304,2,1.0,0.5,0.9997021252792516,,,,0.0001
480,3,1.0,0.6666666666666666,0.9995297128779388,,,,0.0001
693,4,2.0,1.0,0.99932109526766,,,,0.0001
917,5,2.0,1.2,0.9991017519096933,,,,0.0001
1189,6,3.0,1.5,0.9988354724488222,,,,0.0001
1415,7,3.0,1.7142857142857142,0.9986142806276661,,,,0.0001
1556,8,0.0,1.5,0.9984763057415557,,,,0.0001
1731,9,1.0,1.4444444444444444,0.9983050873700954,,,,0.0001
1866,10,0.0,1.3,0.9981730250977043,,,,0.0001
2080,11,2.0,1.3636363636363635,0.9979637184669418,,,,0.0001
2214,12,0.0,1.25,0.9978326801084333,,,,0.0001
2414,13,2.0,1.3076923076923077,0.9976371331277615,,,,0.0001
2582,14,1.0,1.2857142857142858,0.9974729038850386,,,,0.0001
2720,15,0.0,1.2,0.9973380219313713,,,,0.0001
2853,16,0.0,1.125,0.9972080446181374,,,,0.0001
3045,17,2.0,1.1764705882352942,0.9970204386843167,,,,0.0001
3213,18,0.0,1.1111111111111112,0.9968563130375581,,,,0.0001
3350,19,0.0,1.0526315789473684,0.9967224928895614,,,,0.0001
3575,20,2.0,1.1,0.9965027550500952,,,,0.0001
3712,21,0.0,1.0476190476190477,0.9963689833362249,,,,0.0001
3988,22,3.0,1.1363636363636365,0.9960995426813449,,,,0.0001
4159,23,1.0,1.1304347826086956,0.9959326439297963,,,,0.0001
4332,24,1.0,1.125,0.9957638221858984,,,,0.0001
4479,25,0.0,1.08,0.9956203954461607,,,,0.0001
4702,26,2.0,1.1153846153846154,0.9954028563544864,,,,0.0001
4917,27,2.0,1.1481481481481481,0.9951931672827532,,,,0.0001
5067,28,0.0,1.1071428571428572,0.9950468992780355,,,,0.0001
5197,29,0.0,1.0689655172413792,0.9949201514199185,,,,0.0001
5400,30,2.0,1.1,0.9947222627155634,,,,0.0001
5535,31,0.0,1.064516129032258,0.9945906840918537,,,,0.0001
5669,32,0.0,1.03125,0.9944600976896697,,,,0.0001
5808,33,0.0,1.0,0.9943246571494265,,,,0.0001
