frame,episode,ep_return,mean100,epsilon,loss,eval_mean,eval_std,lr
142,1,0.0,0.0,0.9998608498798923,,,,0.00025
353,2,2.0,1.0,0.9996541210512261,,,,0.00025
571,3,2.0,1.3333333333333333,0.9994405797296866,,,,0.00025
792,4,2.0,1.5,0.9992241472782333,,,,0.00025
989,5,1.0,1.4,0.9990312591213266,,,,0.00025
1157,6,1.0,1.3333333333333333,0.9988667956851097,,,,0.00025
1416,7,3.0,1.5714285714285714,0.9986133020138748,,,,0.00025
1602,8,2.0,1.625,0.9984312968667036,,,,0.00025
1793,9,2.0,1.6666666666666667,0.9982444343349419,,,,0.00025
1955,10,1.0,1.6,0.9980859715724101,,,,0.00025
2150,11,1.0,1.5454545454545454,0.9978952634026043,,,,0.00025
2373,12,3.0,1.6666666666666667,0.9976772170719349,,,,0.00025
2591,13,2.0,1.6923076923076923,0.9974641066684912,,,,0.00025
2786,14,2.0,1.7142857142857142,0.9972735197505193,,,,0.00025
3218,15,8.0,2.1333333333333333,0.9968514287682035,,,,0.00025
3504,16,4.0,2.25,0.9965720892070371,,,,0.00025
3763,17,3.0,2.2941176470588234,0.9963191897878211,,,,0.00025
3895,18,0.0,2.1666666666666665,0.9961903241600877,,,,0.00025
4061,19,1.0,2.1052631578947367,0.9960282900154832,,,,0.00025
4220,20,1.0,2.05,0.9958731138542025,,,,0.00025
4354,21,0.0,1.9523809523809523,0.9957423556179434,,,,0.00025
4493,22,0.0,1.8636363636363635,0.9956067368562349,,,,0.00025
4630,23,0.0,1.7826086956521738,0.9954730878884489,,,,0.00025
4938,24,4.0,1.875,0.9951726884412688,,,,0.00025
5123,25,1.0,1.84,0.9949922981805208,,,,0.00025
5345,26,2.0,1.8461538461538463,0.9947758739143072,,,,0.00025
5523,27,1.0,1.8148148148148149,0.9946023792502335,,,,0.00025
5653,28,0.0,1.75,0.9944756891759643,,,,0.00025
5831,29,1.0,1.7241379310344827,0.994302247940019,,,,0.00025
5963,30,0.0,1.6666666666666667,0.9941736485310386,,,,0.00025
6136,31,1.0,1.6451612903225807,0.9940051310670237,,,,0.00025
6309,32,1.0,1.625,0.9938366427540083,,,,0.00025
6448,33,0.0,1.5757575757575757,0.9937012888679785,,,,0.00025
6664,34,2.0,1.588235294117647,0.9934909921024513,,,,0.00025
6793,35,0.0,1.542857142857143,0.9933654198640537,,,,0.00025
6967,36,1.0,1.5277777777777777,0.9931960690149484,,,,0.00025
7117,37,0.0,1.4864864864864864,0.9930501005525046,,,,0.00025
7326,38,2.0,1.5,0.9928467543319094,,,,0.00025
7614,39,4.0,1.564102564102564,0.9925666148086895,,,,0.00025
7931,40,4.0,1.625,0.9922583600527553,,,,0.00025
8102,41,1.0,1.6097560975609757,0.9920921180872794,,,,0.00025
