frame,episode,ep_return,mean100,epsilon,loss
154,1,1.0,1.0,0.9998537,
333,2,1.0,1.0,0.99968365,
460,3,0.0,0.6666666666666666,0.999563,
611,4,0.0,0.5,0.99941955,
737,5,0.0,0.4,0.99929985,
875,6,0.0,0.3333333333333333,0.99916875,
1089,7,2.0,0.5714285714285714,0.99896545,
1213,8,0.0,0.5,0.99884765,
1356,9,0.0,0.4444444444444444,0.9987118,
1521,10,1.0,0.5,0.99855505,
1698,11,1.0,0.5454545454545454,0.9983869,
1880,12,1.0,0.5833333333333334,0.998214,
2178,13,4.0,0.8461538461538461,0.9979309,
2397,14,1.0,0.8571428571428571,0.99772285,
2584,15,1.0,0.8666666666666667,0.9975452,
2718,16,0.0,0.8125,0.9974179,
2854,17,0.0,0.7647058823529411,0.9972887,
2982,18,0.0,0.7222222222222222,0.9971671,
3118,19,0.0,0.6842105263157895,0.9970379,
3241,20,0.0,0.65,0.99692105,
3402,21,1.0,0.6666666666666666,0.9967681,
3559,22,1.0,0.6818181818181818,0.99661895,
3714,23,1.0,0.6956521739130435,0.9964717,
3842,24,0.0,0.6666666666666666,0.9963501,
3970,25,0.0,0.64,0.9962285,
4262,26,4.0,0.7692307692307693,0.9959511,
4396,27,0.0,0.7407407407407407,0.9958238,
4541,28,0.0,0.7142857142857143,0.99568605,
4711,29,1.0,0.7241379310344828,0.99552455,
4877,30,1.0,0.7333333333333333,0.99536685,
5101,31,2.0,0.7741935483870968,0.99515405,
5238,32,0.0,0.75,0.9950239,
5369,33,0.0,0.7272727272727273,0.99489945,
5561,34,2.0,0.7647058823529411,0.99471705,
5763,35,2.0,0.8,0.99452515,
5943,36,1.0,0.8055555555555556,0.99435415,
6081,37,0.0,0.7837837837837838,0.99422305,
6342,38,3.0,0.8421052631578947,0.9939751,
6615,39,3.0,0.8974358974358975,0.99371575,
6753,40,0.0,0.875,0.99358465,
6888,41,0.0,0.8536585365853658,0.9934564,
7052,42,1.0,0.8571428571428571,0.9933006,
7188,43,0.0,0.8372093023255814,0.9931714,
7453,44,3.0,0.8863636363636364,0.99291965,
7752,45,4.0,0.9555555555555556,0.9926356,
7957,46,2.0,0.9782608695652174,0.99244085,
8169,47,1.0,0.9787234042553191,0.99223945,
8344,48,1.0,0.9791666666666666,0.9920732,
8503,49,1.0,0.9795918367346939,0.99192215,
8638,50,0.0,0.96,0.9917939,
8771,51,0.0,0.9411764705882353,0.99166755,
9005,52,2.0,0.9615384615384616,0.99144525,
9289,53,4.0,1.0188679245283019,0.99117545,
9452,54,1.0,1.0185185185185186,0.9910206,
9733,55,3.0,1.0545454545454545,0.99075365,
9874,56,0.0,1.0357142857142858,0.9906197,
10111,57,2.0,1.0526315789473684,0.99039455,
10368,58,3.0,1.0862068965517242,0.9901504,
10571,59,2.0,1.1016949152542372,0.98995755,
10782,60,2.0,1.1166666666666667,0.9897571000000001,
10968,61,2.0,1.1311475409836065,0.9895804,
11091,62,0.0,1.1129032258064515,0.98946355,
11270,63,1.0,1.1111111111111112,0.9892935,
11409,64,0.0,1.09375,0.98916145,
11549,65,0.0,1.0769230769230769,0.98902845,
11763,66,2.0,1.0909090909090908,0.98882515,
12017,67,3.0,1.1194029850746268,0.98858385,
12174,68,1.0,1.1176470588235294,0.9884347,
12324,69,0.0,1.1014492753623188,0.9882922,
12481,70,1.0,1.1,0.98814305,
12656,71,1.0,1.0985915492957747,0.9879768,
12953,72,5.0,1.1527777777777777,0.98769465,
13085,73,0.0,1.1369863013698631,0.98756925,
13241,74,1.0,1.135135135135135,0.98742105,
13372,75,0.0,1.12,0.9872966,
13610,76,3.0,1.144736842105263,0.9870705,
13752,77,0.0,1.12987012987013,0.9869356,
13931,78,1.0,1.1282051282051282,0.98676555,
14164,79,3.0,1.1518987341772151,0.9865442,
14288,80,0.0,1.1375,0.9864264,
14517,81,2.0,1.1481481481481481,0.98620885,
14706,82,1.0,1.146341463414634,0.9860293,
14899,83,1.0,1.144578313253012,0.98584595,
15053,84,1.0,1.1428571428571428,0.98569965,
15209,85,1.0,1.1411764705882352,0.98555145,
15390,86,1.0,1.1395348837209303,0.9853795,
15703,87,4.0,1.1724137931034482,0.98508215,
15874,88,1.0,1.1704545454545454,0.9849197,
