frame,episode,ep_return,mean100,epsilon,loss,eval_mean,eval_std,lr
129,1,0.0,0.0,0.9998735881537394,,,,0.00025
312,2,2.0,1.0,0.9996942876935997,,,,0.00025
486,3,1.0,1.0,0.9995238357172931,,,,0.00025
618,4,0.0,0.75,0.9993945471042145,,,,0.00025
831,5,2.0,1.0,0.9991859582811796,,,,0.00025
1124,6,4.0,1.5,0.9988990988223662,,,,0.00025
1327,7,2.0,1.5714285714285714,0.9987004024736669,,,,0.00025
1457,8,0.0,1.375,0.9985731796910055,,,,0.00025
1635,9,1.0,1.3333333333333333,0.998399009166657,,,,0.00025
1788,10,0.0,1.2,0.9982493255693417,,,,0.00025
1993,11,2.0,1.2727272727272727,0.9980488050116593,,,,0.00025
2219,12,2.0,1.3333333333333333,0.9978277909572555,,,,0.00025
2455,13,3.0,1.4615384615384615,0.997597050826996,,,,0.00025
2645,14,2.0,1.5,0.9974113250318482,,,,0.00025
2783,15,0.0,1.4,0.9972764515754763,,,,0.00025
3004,16,2.0,1.4375,0.9970604973434997,,,,0.00025
3144,17,0.0,1.3529411764705883,0.9969237184486176,,,,0.00025
3276,18,0.0,1.2777777777777777,0.9967947730283674,,,,0.00025
3584,19,5.0,1.4736842105263157,0.996493966564848,,,,0.00025
3770,20,1.0,1.45,0.9963123555774123,,,,0.00025
4015,21,3.0,1.5238095238095237,0.9960731883494777,,,,0.00025
4185,22,1.0,1.5,0.9959072700109166,,,,0.00025
4361,23,1.0,1.4782608695652173,0.9957355254453598,,,,0.00025
4534,24,1.0,1.4583333333333333,0.99556673780001,,,,0.00025
4694,25,1.0,1.44,0.9954106596085502,,,,0.00025
4985,26,5.0,1.5769230769230769,0.9951268564019735,,,,0.00025
5177,27,1.0,1.5555555555555556,0.9949396500179323,,,,0.00025
5315,28,0.0,1.5,0.9948051176291781,,,,0.00025
5473,29,1.0,1.4827586206896552,0.9946511105874694,,,,0.00025
5624,30,0.0,1.4333333333333333,0.9945039493807214,,,,0.00025
5760,31,0.0,1.3870967741935485,0.9943714258554096,,,,0.00025
5932,32,1.0,1.375,0.9942038483822383,,,,0.00025
6057,33,0.0,1.3333333333333333,0.994082080511841,,,,0.00025
6329,34,3.0,1.3823529411764706,0.9938171662159192,,,,0.00025
6505,35,1.0,1.3714285714285714,0.9936457894762608,,,,0.00025
6718,36,2.0,1.3888888888888888,0.9934384250082022,,,,0.00025
6856,37,0.0,1.3513513513513513,0.9933040997742054,,,,0.00025
7075,38,2.0,1.368421052631579,0.99309096951497,,,,0.00025
7353,39,3.0,1.4102564102564104,0.9928204878241419,,,,0.00025
7526,40,1.0,1.4,0.992652204436681,,,,0.00025
7701,41,1.0,1.3902439024390243,0.9924820051937727,,,,0.00025
7906,42,2.0,1.4047619047619047,0.9922826668155899,,,,0.00025
8083,43,1.0,1.3953488372093024,0.9921105880129868,,,,0.00025
8222,44,0.0,1.3636363636363635,0.9919754740318921,,,,0.00025
8399,45,1.0,1.3555555555555556,0.9918034495976001,,,,0.00025
8620,46,2.0,1.3695652173913044,0.9915887047654169,,,,0.00025
8775,47,0.0,1.3404255319148937,0.9914381201867847,,,,0.00025
9089,48,4.0,1.3958333333333333,0.9911331365019904,,,,0.00025
9218,49,0.0,1.3673469387755102,0.9910078684073476,,,,0.00025
9473,50,3.0,1.4,0.9907602929681136,,,,0.00025
9610,51,0.0,1.3725490196078431,0.990627307917661,,,,0.00025
9747,52,0.0,1.3461538461538463,0.9904943410849123,,,,0.00025
