frame,episode,ep_return,mean100,epsilon,loss,eval_mean,eval_std,lr
140,1,0.0,0.0,0.9998628096035519,,,,0.0001
387,2,2.0,1.0,0.999620813377344,,,,0.0001
600,3,2.0,1.3333333333333333,0.9994121763647253,,,,0.0001
737,4,0.0,1.0,0.9992780060874372,,,,0.0001
903,5,1.0,1.0,0.9991154594301724,,,,0.0001
1037,6,0.0,0.8333333333333334,0.9989842667487149,,,,0.0001
1164,7,0.0,0.7142857142857143,0.9988599436415221,,,,0.0001
1299,8,0.0,0.625,0.9987278064685904,,,,0.0001
1508,9,2.0,0.7777777777777778,0.9985232737314539,,,,0.0001
1673,10,1.0,0.8,0.9983618307107037,,,,0.0001
1810,11,0.0,0.7272727272727273,0.9982278043209137,,,,0.0001
2058,12,3.0,0.9166666666666666,0.9979852339054168,,,,0.0001
2190,13,0.0,0.8461538461538461,0.9978561483743739,,,,0.0001
2320,14,0.0,0.7857142857142857,0.9977290353376117,,,,0.0001
2465,15,0.0,0.7333333333333333,0.9975872749053674,,,,0.0001
2604,16,0.0,0.6875,0.9974513997176999,,,,0.0001
2779,17,1.0,0.7058823529411765,0.9972803606891008,,,,0.0001
2914,18,0.0,0.6666666666666666,0.9971484367454743,,,,0.0001
3041,19,0.0,0.631578947368421,0.9970243467738876,,,,0.0001
3288,20,2.0,0.7,0.9967830515614199,,,,0.0001
3492,21,2.0,0.7619047619047619,0.9965838081424211,,,,0.0001
3646,22,0.0,0.7272727272727273,0.9964334258157036,,,,0.0001
3777,23,0.0,0.6956521739130435,0.9963055214148429,,,,0.0001
3909,24,0.0,0.6666666666666666,0.9961766575912155,,,,0.0001
4049,25,0.0,0.64,0.9960400024252376,,,,0.0001
4218,26,1.0,0.6538461538461539,0.9958750656023818,,,,0.0001
4417,27,1.0,0.6666666666666666,0.9956808857858596,,,,0.0001
4607,28,2.0,0.7142857142857143,0.9954955240274849,,,,0.0001
4784,29,1.0,0.7241379310344828,0.9953228765994802,,,,0.0001
4998,30,2.0,0.7666666666666667,0.9951141798352382,,,,0.0001
5171,31,1.0,0.7741935483870968,0.9949454996733813,,,,0.0001
5351,32,1.0,0.78125,0.9947700252766096,,,,0.0001
5481,33,0.0,0.7575757575757576,0.9946433134097734,,,,0.0001
5634,34,0.0,0.7352941176470589,0.9944942043899526,,,,0.0001
5763,35,0.0,0.7142857142857143,0.9943685027455167,,,,0.0001
5890,36,0.0,0.6944444444444444,0.9942447658031301,,,,0.0001
6310,37,7.0,0.8648648648648649,0.9938356689178525,,,,0.0001
6518,38,2.0,0.8947368421052632,0.9936331321632702,,,,0.0001
6699,39,1.0,0.8974358974358975,0.993456920513984,,,,0.0001
6834,40,0.0,0.875,0.9933255126999417,,,,0.0001
7092,41,3.0,0.926829268292683,0.9930744271090991,,,,0.0001
7231,42,0.0,0.9047619047619048,0.9929391791636809,,,,0.0001
7367,43,0.0,0.8837209302325582,0.9928068684326483,,,,0.0001
7498,44,0.0,0.8636363636363636,0.9926794390796885,,,,0.0001
7736,45,3.0,0.9111111111111111,0.9924479689192292,,,,0.0001
7878,46,0.0,0.8913043478260869,0.9923098911113991,,,,0.0001
8009,47,0.0,0.8723404255319149,0.9921825268582042,,,,0.0001
8138,48,0.0,0.8541666666666666,0.9920571234009363,,,,0.0001
8323,49,1.0,0.8571428571428571,0.9918773094664091,,,,0.0001
8464,50,0.0,0.84,0.9917402844262666,,,,0.0001
8632,51,1.0,0.8431372549019608,0.9915770457709139,,,,0.0001
8791,52,1.0,0.8461538461538461,0.9914225773012051,,,,0.0001
8932,53,0.0,0.8301886792452831,0.991285616373778,,,,0.0001
9171,54,3.0,0.8703703703703703,0.9910535068496575,,,,0.0001
9311,55,0.0,0.8545454545454545,0.990917568874579,,,,0.0001
9501,56,2.0,0.875,0.9907331120604451,,,,0.0001
9638,57,0.0,0.8596491228070176,0.9906001307335216,,,,0.0001
9814,58,1.0,0.8620689655172413,0.9904293201422855,,,,0.0001
9976,59,1.0,0.864406779661017,0.9902721233257084,,,,0.0001
10160,60,2.0,0.8833333333333333,0.9900936096787756,,,,0.0001
10468,61,5.0,0.9508196721311475,0.989794866855751,,,,0.0001
10736,62,3.0,0.9838709677419355,0.9895349966555959,,,,0.0001
10896,63,1.0,0.9841269841269841,0.9893798834655171,,,,0.0001
11154,64,3.0,1.015625,0.9891298157157099,,,,0.0001
11340,65,1.0,1.0153846153846153,0.9889495743329549,,,,0.0001
11548,66,2.0,1.0303030303030303,0.9887480537803577,,,,0.0001
11753,67,2.0,1.044776119402985,0.9885494807837603,,,,0.0001
11933,68,1.0,1.0441176470588236,0.9883751575667794,,,,0.0001
12068,69,0.0,1.0289855072463767,0.9882444357444294,,,,0.0001
12206,70,0.0,1.0142857142857142,0.9881108272314961,,,,0.0001
12341,71,0.0,1.0,0.9879801410913328,,,,0.0001
12475,72,0.0,0.9861111111111112,0.9878504404425642,,,,0.0001
12679,73,2.0,1.0,0.9876530190903764,,,,0.0001
12844,74,1.0,1.0,0.9874933695136788,,,,0.0001
13016,75,1.0,1.0,0.9873269749644639,,,,0.0001
13196,76,1.0,1.0,0.9871528717787271,,,,0.0001
13363,77,1.0,1.0,0.9869913707348525,,,,0.0001
13509,78,0.0,0.9871794871794872,0.9868502003004177,,,,0.0001
13639,79,0.0,0.9746835443037974,0.9867245179439088,,,,0.0001
13839,80,2.0,0.9875,0.9865311923735216,,,,0.0001
13967,81,0.0,0.9753086419753086,0.9864074842983834,,,,0.0001
14203,82,2.0,0.9878048780487805,0.9861794390424876,,,,0.0001
14442,83,3.0,1.0120481927710843,0.9859485497489262,,,,0.0001
14591,84,0.0,1.0,0.9858046341369928,,,,0.0001
14755,85,1.0,1.0,0.9856462551644251,,,,0.0001
14926,86,1.0,1.0,0.9854811437722184,,,,0.0001
15064,87,0.0,0.9885057471264368,0.9853479165672664,,,,0.0001
15232,88,1.0,0.9886363636363636,0.9851857517395101,,,,0.0001
15474,89,2.0,1.0,0.9849522050478786,,,,0.0001
15619,90,0.0,0.9888888888888889,0.9848122971217164,,,,0.0001
15889,91,3.0,1.010989010989011,0.9845518329657369,,,,0.0001
16193,92,4.0,1.0434782608695652,0.9842586537740103,,,,0.0001
16337,93,0.0,1.032258064516129,0.9841198105248208,,,,0.0001
16496,94,1.0,1.0319148936170213,0.9839665276612579,,,,0.0001
16678,95,1.0,1.0315789473684212,0.9837911017174686,,,,0.0001
16862,96,1.0,1.03125,0.9836137804688079,,,,0.0001
17023,97,1.0,1.0309278350515463,0.9834586511383985,,,,0.0001
17205,98,1.0,1.030612244897959,0.9832833176197255,,,,0.0001
17362,99,1.0,1.0303030303030303,0.9831320940102232,,,,0.0001
17517,100,1.0,1.03,0.9829828201046781,,,,0.0001
17725,101,2.0,1.05,0.9827825405078965,,,,0.0001
17905,102,1.0,1.04,0.9826092552467465,,,,0.0001
18071,103,1.0,1.03,0.982449475372472,,,,0.0001
18255,104,1.0,1.04,0.982272400960349,,,,0.0001
18443,105,1.0,1.04,0.9820915107531806,,,,0.0001
18621,106,1.0,1.05,0.981920273704816,,,,0.0001
18850,107,2.0,1.07,0.9817000191822429,,,,0.0001
18986,108,0.0,1.07,0.9815692368730328,,,,0.0001
19121,109,0.0,1.05,0.9814394337879603,,,,0.0001
19363,110,2.0,1.06,0.9812067935955823,,,,0.0001
19507,111,0.0,1.06,0.9810683897826181,,,,0.0001
19746,112,2.0,1.05,0.9808387218838672,,,,0.0001
19970,113,2.0,1.07,0.9806235181138874,,,,0.0001
20181,114,2.0,1.09,0.9804208479340212,,,,0.0001
20370,115,1.0,1.1,0.9802393455462776,,,,0.0001
20499,116,0.0,1.1,0.9801154826600301,,,,0.0001
